Year,Real GDP Growth,Unemp. Rate,Emp. Growth,CPI Inflation,Core Inflation (CPIX),GDP Inflation,3 Month T-Bill,10 Year  Bnchmk. Govt. Bond Rate,Exchange Rate         (U.S.$),US Real GDP Growth,U.S. 90-day T-bill,US Gov't Bond Rate (10 years),US CPI Inflation,US GDP Inflation,Oil Price   WTI   $US/Barrel,Gas Price  Henry Hub   $US/mmbtu
2014,2.4,6.9,0.8,2,1.8,2,0.9,2.2,90.3,2.3,0.1,2.6,1.7,1.6,94,4.3
2015,2.5,6.6,1.2,1.6,2,1.1,1.2,2.6,87.1,3.1,0.5,2.9,1.5,1.7,73,3.9
2016,2.3,6.4,1.2,2.1,2,2,2,3.4,88.2,2.9,1.7,3.6,2.2,2.1,81,4.1
2017,2.2,6.3,1.1,2,2,2,2.7,3.9,88.5,2.6,2.7,4.1,2.2,2.1,85,4.5
2018,2.2,6.2,1,2,2,2,3.1,4.1,88.7,2.4,3.2,4.2,2.2,2.1,86,4.6
2019,2.1,6.1,1,2,2,2.1,3.3,4.3,89,2.5,3.5,4.5,2.2,2.1,85,4.7
