Year,Real GDP Growth,Unemp. Rate,Emp. Growth,CPI Inflation,Core Inflation (CPIX),GDP Inflation,3 Month T-Bill,10 Year  Bnchmk. Govt. Bond Rate,Exchange Rate         (U.S.$),US Real GDP Growth,U.S. 90-day T-bill,US Gov't Bond Rate (10 years),US CPI Inflation,US GDP Inflation,Oil Price   WTI   $US/Barrel,Gas Price  Henry Hub   $US/mmbtu
2015,1.2,6.9,0.8,1.1,2.2,-0.4,0.5,1.5,78.2,2.5,0.1,2.2,0.2,0.9,49,2.6
2016,1.8,6.9,0.9,1.9,2,1.8,0.5,2,74.5,2.5,0.8,2.7,1.9,1.9,49,2.8
2017,2.2,6.7,1,2,1.9,2.3,1.2,2.7,77.2,2.5,1.7,3.2,2.4,2.1,59,3.2
2018,2.2,6.4,1.1,2,2,2.1,2,3.2,80.4,2.4,2.5,3.6,2.1,2,62,3.2
2019,2,6.3,0.9,2,2,2.1,2.7,3.5,82.5,2.2,2.9,3.8,2.1,2,65,3.5
2020,1.9,6.2,0.8,1.9,2,2.1,3,4,84,2.2,3.1,4.1,2,2.1,66,3.6
