Year,Real GDP Growth,Unemp. Rate,Emp. Growth,CPI Inflation,Core Inflation (CPIX),GDP Inflation,3 Month T-Bill,10 Year  Bnchmk. Govt. Bond Rate,Exchange Rate         (U.S.$),US Real GDP Growth,U.S. 90-day T-bill,US Gov't Bond Rate (10 years),US CPI Inflation,US GDP Inflation,Oil Price   WTI   $US/Barrel,Gas Price  Henry Hub   $US/mmbtu
2012,2,7.3,1.1,1.6,1.8,1.3,1,1.8,100,2.2,0.1,1.8,2.1,1.8,95,2.8
2013,1.9,7.3,1.2,1.9,1.8,1.9,1.1,2.2,100.3,2.1,0.1,2,1.9,1.9,91,3.6
2014,2.6,7,1.4,2.1,2,2.1,1.7,2.9,101.4,2.9,0.1,2.7,2.2,2,96,4.3
2015,2.5,6.8,1.3,2,2,2.1,2.5,3.6,100.3,3.1,0.7,3.4,2.2,2,104,4.6
2016,2.3,6.5,1.2,2,2,2.1,3.4,4.4,99.7,3,2.3,4.2,2.2,2.1,107,4.5
2017,2.3,6.4,1.1,2,2,2.1,3.8,4.7,99.2,2.9,3.4,4.8,2.2,2,111,4.7
