Year,Real GDP Growth,Unemp. Rate,Emp. Growth,CPI Inflation,Core Inflation (CPIX),GDP Inflation,3 Month T-Bill,10 Year  Bnchmk. Govt. Bond Rate,Exchange Rate         (U.S.$),US Real GDP Growth,U.S. 90-day T-bill,US Gov't Bond Rate (10 years),US CPI Inflation,US GDP Inflation,Oil Price   WTI   $US/Barrel,Gas Price  Henry Hub   $US/mmbtu
2009,-2.5,8.3,-1.6,0.3,1.7,-2.1,0.3,3.3,87.9,-2.5,0.2,3.2,-0.4,1.2,61.7,4
2010,2.6,8.5,1,1.7,1.6,2.2,0.7,3.7,95.5,2.7,0.4,3.8,1.9,1.1,76,5.4
2011,3.2,7.9,1.9,2.2,1.9,2.1,2.4,4.3,98.3,3,2,4.4,2.1,1.7,84.7,6.3
2012,3,7.4,1.7,2.1,2,2.2,3.8,4.9,97.7,3.4,3.6,4.9,2.3,2,93.3,6.3
2013,2.8,6.9,1.5,2.1,2,2.1,4.3,5.2,99.3,3.1,4.3,5.2,2.3,2,100,6.8
2014,2.6,6.6,1.4,2.1,2,2,4.4,5.3,98.5,2.9,4.5,5.4,2.3,2.1,104.2,7.2
2015,2.5,6.4,1.2,2.1,2,2,4.5,5.3,97.2,2.7,4.6,5.5,2.3,2.2,106.5,7.6
