Year,Real GDP Growth,Unemp. Rate,Emp. Growth,CPI Inflation,Core Inflation (CPIX),GDP Inflation,3 Month T-Bill,10 Year  Bnchmk. Govt. Bond Rate,Exchange Rate         (U.S.$),US Real GDP Growth,U.S. 90-day T-bill,US Gov't Bond Rate (10 years),US CPI Inflation,US GDP Inflation,Oil Price   WTI   $US/Barrel,Gas Price  Henry Hub   $US/mmbtu
2011,2.3,7.5,1.5,3,1.7,3.1,0.9,2.8,100.8,1.8,0.1,2.8,3.2,2.2,95.4,4.1
2012,2,7.4,0.9,2.1,2,2,0.9,2.4,97.5,2.1,0.1,2.3,1.9,1.7,95.1,3.9
2013,2.5,7.1,1.4,2,2,2.1,1.6,3,100.2,2.4,0.3,3,2,1.7,103,4.3
2014,2.5,6.8,1.4,2,2,2,2.8,3.8,101.3,2.9,1.5,3.8,2.2,2,107.6,4.7
2015,2.4,6.7,1.3,2,2,2.1,3.6,4.5,100.8,2.9,2.9,4.5,2.2,2.1,110.6,5
2016,2.3,6.5,1.1,2,2,2,4,4.6,99.4,2.8,3.6,4.8,2.2,2.1,114,5.2
