Year,Real GDP Growth,Unemp. Rate,Emp. Growth,CPI Inflation,Core Inflation (CPIX),GDP Inflation,3 Month T-Bill,10 Year  Bnchmk. Govt. Bond Rate,Exchange Rate         (U.S.$),US Real GDP Growth,U.S. 90-day T-bill,US Gov't Bond Rate (10 years),US CPI Inflation,US GDP Inflation,Oil Price   WTI   $US/Barrel,Gas Price  Henry Hub   $US/mmbtu
2013,1.7,7.1,1.3,1,1.3,1.4,1,2.3,96.8,1.7,0.1,2.3,1.5,1.4,99,3.7
2014,2.3,6.8,1.3,1.5,1.6,1.6,1,3,93.7,2.7,0.1,2.5,1.7,1.7,97,3.9
2015,2.5,6.6,1.4,1.9,1.9,2,1.5,3.5,95.3,3.1,0.5,3.6,2.1,2,96,4.2
2016,2.5,6.4,1.3,2,2,2,2.7,4.1,95.9,3,2.1,4.1,2.2,2.1,97,4.6
2017,2.3,6.3,1.1,2,2,2,3.6,4.6,96.2,2.9,3.3,4.7,2.2,2.1,102,4.7
2018,2.2,6.2,0.9,2,2,2,4,4.8,96.3,2.6,3.8,4.9,2.2,2.1,107,4.7
