Year,Real GDP Growth,Unemp. Rate,Emp. Growth,CPI Inflation,Core Inflation (CPIX),GDP Inflation,3 Month T-Bill,10 Year  Bnchmk. Govt. Bond Rate,Exchange Rate         (U.S.$),US Real GDP Growth,U.S. 90-day T-bill,US Gov't Bond Rate (10 years),US CPI Inflation,US GDP Inflation,Oil Price   WTI   $US/Barrel,Gas Price  Henry Hub   $US/mmbtu
2010,2.9,8,1.6,1.8,1.7,2.9,0.6,3.2,96.9,2.8,0.1,3.2,1.6,1.1,78.5,4.4
2011,2.4,7.7,1.5,2.3,1.8,2.2,1.4,3.4,98.4,2.8,0.2,3.3,1.5,1.6,86.6,4.7
2012,2.8,7.3,1.7,2.1,1.9,2.3,2.6,4,97.6,3.1,1.2,3.9,1.8,1.6,91.4,5.4
2013,2.9,7,1.5,2,2,2.1,3.6,4.7,98.6,3.2,2.9,4.7,2.1,2,94.9,5.7
2014,2.6,6.8,1.3,2.1,2,2.1,4,4.9,97,3,3.8,5.1,2.2,2,99.9,5.9
2015,2.5,6.6,1.2,2,2,2.1,4,5.1,96.2,2.8,4,5.2,2.3,2,107.2,6.3
2016,2.5,6.5,1.1,2,2,2,4.1,5.2,94.9,2.6,4.2,5.3,2.2,2.1,105,6.4
