Year,Real GDP Growth,Unemp. Rate,Emp. Growth,CPI Inflation,Core Inflation (CPIX),GDP Inflation,3 Month T-Bill,10 Year  Bnchmk. Govt. Bond Rate,Exchange Rate         (U.S.$),US Real GDP Growth,U.S. 90-day T-bill,US Gov't Bond Rate (10 years),US CPI Inflation,US GDP Inflation,Oil Price   WTI   $US/Barrel,Gas Price  Henry Hub   $US/mmbtu
2016,1.3,7,0.7,1.5,2,0.6,0.5,1.3,75.5,1.6,0.3,1.8,1.3,1.3,43,2.5
2017,1.9,6.9,0.9,2,1.8,2.1,0.6,1.8,74.5,2.3,0.9,2.5,2.4,2.1,54,3.2
2018,2,6.7,0.9,2,2,2,0.9,2.3,76.1,2.3,1.5,2.9,2.4,2.2,59,3.1
2019,1.7,6.7,0.9,1.9,2,1.8,1.4,2.7,77.4,1.8,1.9,3.2,2.2,2.2,56,3.1
2020,1.7,6.6,0.8,1.9,1.9,2.1,1.8,3,79.3,1.9,2.1,3.4,2.2,2.2,59,3.3
2021,1.8,6.4,0.9,2,2,2,2.3,3.3,81.3,2,2.6,3.7,2.1,2.2,64,3.4
