Year,Real GDP Growth,Unemp. Rate,Emp. Growth,CPI Inflation,Core Inflation (CPIX),GDP Inflation,3 Month T-Bill,10 Year  Bnchmk. Govt. Bond Rate,Exchange Rate         (U.S.$),US Real GDP Growth,U.S. 90-day T-bill,US Gov't Bond Rate (10 years),US CPI Inflation,US GDP Inflation,Oil Price   WTI   $US/Barrel,Gas Price  Henry Hub   $US/mmbtu
2017,3,6.4,1.8,1.6,1.1,2.2,0.7,1.8,77.2,2.3,1,2.4,2.1,1.8,51,3
2018,2.2,6,1.3,1.9,1.7,1.8,1.4,2.3,79,2.4,1.7,2.8,2.1,2,56,3.1
2019,1.6,6,0.8,2,2,1.9,2,2.8,79.6,1.9,2.2,3.1,2.2,2,57,3.2
2020,1.7,6.1,0.8,1.9,2,2,2.3,3.1,80.3,1.9,2.4,3.4,2.2,2.1,57,3.2
2021,1.6,6,0.8,1.9,2,2,2.5,3.2,80.6,1.8,2.7,3.5,2,2.2,59,3.3
2022,1.8,6,0.8,2,2,1.9,2.5,3.3,81.2,1.9,2.7,3.6,2.1,2.1,62,3.4
